,text,sentiment
0,انتظرت خمس سنين عشان سيارة احلامي واما توصلني يقولون الاستلام بعد 3 شهور وسنه الي فاتت كانت توصل في 3 اسابيع💔,Negative
1,مستقبل الرياض افضل بوايد، ايش رايكم؟,Positive
2,مو فالحين يشتغلون بطلوا تطبيقاتنا ولا اي شي 😢,Negative
3,يا رب تساعدني اجيب ايباد برو بسعر حلو وسهل لاني محتاجته 🥺,Positive
4,خذيت قميص ولا لقيته مقطوع ونشف وجهي قدام الناس 😢,Negative
5,اي فخامة هذي 😳😳😳,Positive
6,المسلسلات تركيه كلو زباله انا افضل الكوري والصيني والياباني,Negative
7,الي يشتاقلي يكلمني انا فاضي مهوب زعلآن 😢,Positive
8,اتمنى تفهمون مشاعرنا احنا المتقدمين لجامعة الملك فهد للبترول والمعادن,Mixed
9,التطبيق الجديد فضيع ومقرف مش عاجبني خالص ارجعوا القديم,Negative
0,انتظرت خمس سنين عشان سيارة احلامي واما توصلني يقولون الاستلام بعد 3 شهور وسنه الي فاتت كانت توصل في 3 اسابيع💔,Negative
1,مستقبل الرياض افضل بوايد، ايش رايكم؟,Positive
2,مو فالحين يشتغلون بطلوا تطبيقاتنا ولا اي شي 😢,Negative
3,يا رب تساعدني اجيب ايباد برو بسعر حلو وسهل لاني محتاجته 🥺,Positive
4,خذيت قميص ولا لقيته مقطوع ونشف وجهي قدام الناس 😢,Negative
5,اي فخامة هذي 😳😳😳,Positive
6,المسلسلات تركيه كلو زباله انا افضل الكوري والصيني والياباني,Negative
7,الي يشتاقلي يكلمني انا فاضي مهوب زعلآن 😢,Positive
8,اتمنى تفهمون مشاعرنا احنا المتقدمين لجامعة الملك فهد للبترول والمعادن,Mixed
9,التطبيق الجديد فضيع ومقرف مش عاجبني خالص ارجعوا القديم,Negative
0,ماشاء الله تبارك الله اهدى لنا وتقبل من عندك ان شاء الله يارب,Positive
1,طيب يا حبيبي ماشي معاك بس لا تنسى وقت الضيق والظلم تصدمني 😏,Mixed
2,ماشي ان شاء الله بس ابيكم تسرعون و تخلون الاصدار يكون بأسرع وقت,Mixed
3,يعني محتاجين اكثر مدح لشركة جوال @@ 🧐,Neutral
4,الله يحفظك يارب انت وكل متابعينك ويسعدك ويسعدهم يارب ويحفظهم من كل شر و مكروه محد محسوبكم الا الله,Positive
5,اتمنى يكون فيه خصومات اكثر لو اشتريت كميات كبيره زي باقي المتاجر 😅,Mixed
6,فعلا انتم افضل تطبيق من زمان اتعامل معكم واتمنى تستمروا على هالطريقة الممتازه واهم شي عدم التلاعب بالأسعار,Positive
7,فعلا شيء سيء وانا من المتابعين لكم وان كنتوا تعرفون عميل مشتكي مايصح يكون هذا الرد,Negative
8,طيب متى نعرف النتائج وكم من زمان حاطين السؤال ؟؟,Neutral
9,👍🏼 على الاقل تتحسن فعلياً,Positive
10,ماشالله تبارك الله موفقه ان شاء الله لكن هل يمكن الحصول على شغله في المنصه الخاصه بكم,Mixed
11,الصراحه يتم خصم مبالغ من الرصيد مع اني ما اشبك نت,Negative
12,انا اقدم خدمه ومن شروط الخدمه الرد السريع والكلام الطيب والتعامل مع العملاء بخلق,Positive
13,ماشاء الله عليكم ربي يزيدكم من فضله انتم و جميع المسلمين والمسلمات,Positive
14,بصراحه شي مفيد وتوعوي بس للامانه زادو عليه وللاسف التوعيه في السوق السعودي ضعيفه,Mixed
0,وايد حلوة هالمجموعة 😍بس السعر وايد غالي 💔,Mixed
1,ممكن باركود هالبطاقه 🥹❤️,Positive
2,ماشاء الله على الاسعار كلها حلوة 😍😍,Positive
3,يا جماعه نصيحة لا تشترون من الموقع 💔💔💔,Negative
4,انا بصراحه عجبتني الخدمة ❤️ بس المنتجات ما كانت زي ما اتوقع 😭,Mixed
5,الاسعار وايدد حلوة ورخيصة 😍 ومو غالية زي باقي المحلات 😍,Positive
6,حسبي الله ونعم الوكيل عليهم💔💔💔💔💔💔💔💔💔,Negative
7,الله يحفظهم بجد ناس محترمه 😍❤️,Positive
8,نسيت باسوردي 😭💔 يمكن احد يساعدني 💔,Negative
9,الله يرزقنا من وسع فضله ويرزق كل محتاج 😍❤️,Positive
0,الحضور على الدوام يجيب الشهاده والله يعينك المهم بس تكون براحتك 😎,Positive
1,زمان وما كلمتك ينقصك مسجد ومستشفى ☺️,Positive
2,لا انا رجعت البر مودي الشباب هم رايحين وراه 😍,Negative
3,السكن اللي انا فيه مافيه اي مكيف 👎,Negative
4,تمت الموافقه على طلب التمويل الخاص بك وسيتم إرساله إلى حسابك في غضون 72 ساعه . يمكنك المتابعه و معرفه اخر المستجدات على حسابك الالكتروني 😁,Positive
5,الله يعوضك خير يا رب .. هذا كلام غير صحيح والمشروع مثل ما تشوفونه بالصور تمام 😤,Mixed
6,وش الفرق بين السعوديه والامارات اي وجه من وجوه الحياة ؟؟ 🤔,Neutral
7,الحين بطلع اشوف خالي الله يرحمه فالمقبره 😔,Negative
8,الحفيان لو تشيل حفيته ما يصير حافي 👀,Neutral
9,الله يخليك .. يعطيك العافيه .. بصراحه مفيده معلومتك,Positive
10,خلصنا المهمة الحمدلله 😍,Positive
11,ناويين نسافر اليوم لكن الوضع في خطر 🥺,Negative
12,فعلا الطقس مره حلو في الرياض ☀️,Positive
13,الحماس زايد لاول يوم دراسي 🎓,Positive
14,حسب علمي ان الدوام الحضور اختياري 🧐,Neutral
15,محد يرد علي ولا يعلمني 😔,Negative
16,حب كبير للجميع 🫶,Positive
0,وايد يمدحون المرسيدس EQS 580 4MATIC هل هي فعلا تستاهل سعرها و في شئ افضل منها بنفس السعر ؟,Neutral
1,ما شاء الله تبارك الله .. الحمد لله ع كل حال .. بس ياليت يكون في خصم على طلبات اول مره 😁,Mixed
2,مو فاهم يعني ايش لازم اسوي بالضبط,Negative
3,ايوا الشغله تمام وحلوه وسهله واكيد هتوفق بيها ان شاء الله وتابعني هنفضل ندعمك ❤️🙏,Positive
4,انتوا بتقولوا ايه بقى,Neutral
5,حلو بصراحه ما شاء الله تبارك الله 😍,Positive
6,يا تري فين موقعكم الرياض ولا جده ؟,Neutral
7,ما شاء الله تبارك الرحمن,Positive
8,هل يوجد اعادة دفع في حال الغاء الطلب ؟,Neutral
9,يلا يا جماعه كملوا معانا,Positive
10,افا! خلصت الكوبونات بسرعه 😔,Negative
11,ما شاء الله تبارك الله,Positive
12,الحمد لله,Positive
13,تمام حلو بس يا ريت لو في صور للمطعم,Neutral
14,هل يوجد خصم لو دفعت كاش ؟,Neutral
15,يعطيكم العافيه 🙏🏻,Positive
16,فين موقعكم تحديدًا ؟,Neutral
17,تمام بارك الله فيك ❤️ وما قصرت,Positive
18,فيه توصيل خارج الرياض ؟,Neutral
19,ما شاء الله,Positive
20,فين موقعكم بالضبط ؟,Neutral
21,يا جماعه انا تعبت مره 😭,Negative
22,وين مكانكم تحديدا يا شباب ؟,Neutral
23,تمام رح اجربها بإذن الله 🙏,Positive
24,الحمد لله على كل حال,Mixed
25,ماش اءالله يسر الله اموركم 🌹,Positive
0,بنتي امسكت البلايستيشن وبيجامة وحده كبيرة عليها ! 😂,Positive
1,كنت اصور فيديو في جده وكنت ماشي في الشارع فجأة شفت واحد يبيع جوافة مسكر 😂😂,Positive
2,ههههه حبيبة قلبي انتي 😍,Positive
3,صراحة خدمة العملاء في STC تعاملهم زفت,Negative
4,يا اخي حرام كسر خاطرنا 💔,Negative
5,الدنيا زفت ومفيش فايدة,Negative
6,ياعيني عليكي ياروحي ❤️,Mixed
7,مبروك عليكم العيد بس تعامل الأخوة المصاروة كان زفت,Mixed
8,حرقة قلبي عليك يا حبيبي 😘,Mixed
0,أنا تعبان من هالموضوع يارب فكني من هذا البلاء,Negative
1,يا جماعه فيه حدا منكم يقدر يوصلني فندق جراند ميلينيوم 🏨,Neutral
2,مبروك علينا عساها تستاهل,Positive
3,بدي اشتكي ع الفندق كثير سيء واتمنى تغيير غرفتي 😥,Negative
4,أنا تعبان وحزين مش قادر أتحرك أبدا 😥,Negative
5,أنا جالس أفكر اشتري سيارة جديدة 🚗,Positive
6,أنا تعبان وزهقان ما عاد فيني تتحمل كل هذا الضغط 💔,Negative
7,أنا جالس في الشمس وأنا متلج 🌞,Mixed
8,أنا تعبان وزهقان ما عاد فيني تتحمل كل هذا الضغط 💔,Negative
9,أنا اليوم صحيت متعب شوي بس الحمد لله,Mixed
0,ايش اسوي المتجر مقفل من الصبح و الظهر تضررت منو الله يخليكم تعوضوني,Negative
1,لا اتوقع انو احد من الي متابعني ما يعرف هالمسلسل😂❤️ #الزوج_العالمي,Positive
2,منطقة الحكم الذاتي لمحافظة الجوف تتباين الآراء ما بين رافض وموافق حيال إعلانها,Neutral
3,أوكي هذا بس هذا كثير 🙄 مخنوق تكفون 🙏,Negative
4,وشلون ارسل لرقم بالاسكندرية ,Neutral
5,اوكي منورين ماشاء الله 🌹🌹😮,Positive
6,بتحول ٢١ يمكن الوقت ما يمر لاني ما حسيت هلقد ...,Neutral
7, وش ذا #تويتر,Mixed
8, السياره جميله وممتازه 👌🏻👌🏻👌🏻,Positive
9,اذا لقيت شي حلو عنه اتكلم 😊,Neutral
10, والله يرزقنا الحلال يارب🥺,Mixed
0,ما شاء الله تبارك الله يارب متى بيرجع العيد العيد بتمنآت كل ايامنا اعياد وتكون عايشين بفلوسنا ما تستهلكنا بيوم واكتر,Positive
1,من جد ببيئس قلبك ويثير غضبك انو هالطقس ياخدك ب لحضه حر وبرد و شمس ومطر في يوم,Negative
2,ارجو منكم ان لاتنسونا بـ الدعاء فـ جوف المسلمين جميعا قد أصابه الوجع والحزن من مصيبة الزلزال التي ألمت بسوريـا الحبيبـة,Mixed
3,فيه واحد جنب البيت يربي دجاج وانا ماعندي مانع لكن المشكلة الديك صياحه مزعج جداً كمان الوقت اللي يصيح فيه الصبح الباكر بالضبط ومن بعد العصر الى المغرب,Negative
4,ياحي يامنان ياحفيظ ياكبير المرض وباء فتاك يارب الشافي المعافي اشفي مرضانا ومرضى المسلمين يااااااااااااااااااااااااارب,Negative
5,ماشاء الله تبارك الله تطورات سرعت الانترنت رهيبة وخاصة من شركة stc,Positive
6,لدي رخصة قياده وانتهت وقمت بتجديدها من شهر لكن الى الان لم يتم تحديث التطبيق فهل اقدم بلاغ في المرور,Neutral
7,ابغا اسال بقى لو حد ضربك بعصا خشبيه عند مدرسه الفجر الجديده اسوي ايه احسن اتشكي ولا اتركها على الله,Mixed
8,بجد يا جماعه ده مش طبيعي ياخي انتوا بتفهموني انا لما بتكلم بالطريقه ديه,Positive
9,ودي اغير اسمي وش اسمي عبدلله وش اقرب اسم ل اسمي,Neutral
0,لا يقهرك شيء ، ولا يجعلك سقيمًا ! أنت أقوى من أي ظرف، ولا تُحقرك الأيام، ولا تُقلل من شأنك الظروف، ولا تستسلم للصعاب، ولا تُكبل نفسك بالأحزان، ولا تُعذب روحك بالهموم، فكن قويًا وشجاعًا، وكن صاحب عزيمة لا تُلين، ولا تدع شيئًا يهزمك، ولا تجعل من نفسك ضحية للظروف، بل كن أنت المنتصر، والمتغلب على كل الصعاب، والثابت في وجه العواصف، والصابر في وجه المحن، فلا أحد يستطيع أن يُهزمك إلا أنت، ولا أحد يستطيع أن يُحطمك إلا أنت، ولا أحد يستطيع أن يُكسر إرادتك إلا أنت.,Positive
1,أقسم بالله أني تعبت منك، ولا أريد أن أراك أمام عيني أبدًا.,Negative
2,حبيبي، اشتقت إليك كثيرًا، وأتمنى أن تكون بخير، وأنتظرك بفارغ الصبر.,Positive
3,أنا حزين جدًا اليوم، وأشعر أنني وحيد في هذا العالم.,Negative
4,أنا سعيد جدًا لأنني وجدتك، وأتمنى أن نبقى معًا إلى الأبد.,Positive
5,أنا غاضب جدًا منك، ولا أريد أن أتحدث إليك الآن.,Negative
6,أنا ممتن جدًا لكل ما فعلته من أجلي، وأنا أحبك كثيرًا.,Positive
7,أنا خائف جدًا من المستقبل، ولا أعرف ماذا سيحدث لي.,Negative
8,أنا متفائل جدًا بشأن المستقبل، وأعتقد أن كل شيء سيكون على ما يرام.,Positive
9,أنا متشائم جدًا بشأن المستقبل، وأعتقد أن كل شيء سيكون سيئًا.,Negative
0,الله ييسر لي اتصالكم الاسبوع الجاي 💔 Neutral,Neutral
1,الله يفرح قلبك يا هاشم 🙂 😊 Neutral,Neutral
2,بصراحه حبيبتي حرام نصبتي ضيعت عمررررررررررررررري وشبابي مع طبيبي الفاااشلين ودي اروح اقيم عليهم قضيه ماااااشى كيف دمرررو صححتي ترا نفسيتيه مره تعبانه Positive,Positive
3,ودك تطيح التلفزيون وتبطيقه في نفس الوقت بخبرك تبطيقه لما يقولك ماتش مكاوعه 😁 Mixed,Mixed
4,فيه ناس تكلم الناس وكلامهم زباله تافه وشغلهم الشاغل يذمون بكلام فاضي وبلهاء وعقلهم ناقص وينتقدون الناس الشغاله والمكافحه وينتقدون الي اهما مو عارفين اهدافهم وعملهم 😡😡😡😡 Negative,Negative
5,من قلبي والله يا دكتور شكرا لك لإهتمامك الف شكر على المعلومات القيمه 😊😊😊 Positive,Positive
6,عندي استفساااار مهم الله يعافيكم 🥺 Neutral,Neutral
